question,answer
"Statement: Supreme Court 15 times over the last 120 years has said marriage is a fundamental right and never said it had to be between a man and a woman.
Job title: Attorney
State: 
Party: republican
Context: an interview on ""Fox News Sunday""",0
"Statement: Over half of the young people in medical, dental and law schools are women.
Job title: Candidate for U.S. Senate and physician
State: Kentucky
Party: republican
Context: an interview with CNN",1
"Statement: Since 1978, college tuition nationwide has gone up something like four times the rate of inflation.
Job title: Milwaukee County Executive
State: Wisconsin
Party: republican
Context: a radio interview",0
"Statement: His biography says he was the top ROTC officer in the nation.
Job title: 
State: Rhode Island
Party: republican
Context: a biography on Robitaille's campaign website",0
"Statement: ""You know, the approval rating of Congress is down to 13 percent.""
Job title: U.S. senator
State: Arizona
Party: republican
Context: an interview with Springfield, Mo., News-Leader",0
"Statement: When President Franklin D. Roosevelt started Social Security, it only affected widows and orphans, and when Medicare began, it was a small program.
Job title: President
State: Illinois
Party: democrat
Context: a press conference",1
"Statement: Theres only one candidate under investigation -- Terry McAuliffe.
Job title: Attorney General
State: Virginia
Party: republican
Context: a TV ad.",1
"Statement: Says King Street Patriots held a fundraiser featuring an author who believes that registering the poor to vote is un-American.
Job title: Texas Democratic Party chair
State: Texas
Party: democrat
Context: an email blast",0
"Statement: The people in Massachusetts like (the state health care plan) by about a 3-1 margin.
Job title: Former governor
State: Massachusetts
Party: republican
Context: a Republican presidential debate in Hanover, N.H.",0
"Statement: Fifty-one percent -- that is, a majority of American households -- paid no income tax in 2009. Zero. Zip. Nada.
Job title: Senator
State: Texas
Party: republican
Context: a Senate floor speech",0
