question,answer
You all should listen to Bill Warner PhD.....Foremost expert on Islam,0
"Grow some fucking balls and take back your country, bongs. Start killing reporters, politicians, and Asians.",1
"transgenders need help...they are sick in the head. Civilization has messed up the world. Soon enough, people will claim to have the right to change to animals and it will be seen as human rights or right to choose",1
"Stop war. Lead, Radiation, chemicals is killing this earth.  Share, care, sympathy, and empathy most of all Love is needed in this world.",0
Why are niggers superior athletically to all other races?,1
"Feminist deserve to be miserable. What kind of man would want to live with a feminist? Silly me , of course,  a cuck.",1
I love watching this cross believers get killed in their god’s place. Ha ha ,1
"CANCEROUS ugly tarded beings !(except lauren) DIE FUCKING ALREADY WASTE OFF WHORES NOBODY WILL MIS YOU UGLY DUMB TARDED WASTES OFF SPQCES √∞¬ü¬ò¬Ä FUCK women and Islam rights, don't like it here fuckoff and die √∞¬ü¬ò¬Ä",1
Technically ISIS is a CIA/US creation so...,0
I hate mentally disabled people trying to touch my kids.,1
